company_name,location,role_title,salary_range_lpa,match_reason,company_url,careers_page,linkedin_company_page,contact_page,job_url,hiring_status,priority_score,notes
"PhonePe","Bengaluru","ML/Data Science Engineer","22-32 LPA","India's largest digital payments stack;  massive ML org for fraud, lending risk, address parsing, KYC OCR, recommendation; Greenhouse careers active.","https://www.phonepe.com","https://www.phonepe.com/careers/job-openings/","https://in.linkedin.com/company/phonepe-internet","https://www.phonepe.com/contact-us/","https://job-boards.greenhouse.io/phonepe","actively hiring",81,"Mostly backend SRE roles visible publicly; ML roles often filled via internal/referral."
"Course5 Intelligence (C5i)","Bengaluru","Data Scientist - GenAI / LLM Engineer (Python, NLP, BFSI)","17-26 LPA","Active 'Data Scientist with Python, GenAI, LLMs' postings  on c5i.ai/careers; Brigade Tech Gardens Bengaluru;  Everest PEAK Matrix 2024 Major Contender."," https://www.c5i.ai","https://www.c5i.ai/careers/","https://in.linkedin.com/company/course5i/","https://www.c5i.ai/contact-us/","https://www.c5i.ai/careers/","actively hiring",80,"Multiple GenAI/LLM JDs; Glassdoor 4.4/5;  PE-backed (360 ONE, Carnelian)." 
"Skit.ai","Bengaluru","Machine Learning Research Engineer - Core ML / Software Engineer (Voice AI)","18-28 LPA","Multichannel Conversational Voice AI with GenAI  - JDs reference LLMs, NLP, prompt engineering, RAG, vector DBs.","https://skit.ai","https://skit.ai/careers/","https://in.linkedin.com/company/skit-ai","https://skit.ai/contact-us/","https://www.linkedin.com/company/skit-ai/jobs/","actively hiring",80,"Series B $47.6M;  Forbes 30U30 Asia.  WestBridge/Kalaari-backed." 
"Acko","Bengaluru","ML Engineer / AI Engineer","20-30 LPA","Digital-first insurance with active ML/AI roles (claims fraud, doc verification, image-based assessments); insurance claim OCR overlaps with gov-doc OCR.","https://www.acko.com","https://www.acko.com/careers/jobs/","https://in.linkedin.com/company/ackoinsurance","https://www.acko.com/contact-us/","https://www.instahyre.com/job-220942-ml-engineer-at-acko-bangalore/","actively hiring",80,"3-7 yr ML Engineer JD on Instahyre." 
"Sprinklr","Gurgaon","Software Development Engineer / Lead Software Engineer (AI)","25-38 LPA","AI-native Unified CXM platform;  engineering split between Gurgaon (primary) and Bengaluru; multiple SDE/Lead Engineer roles with AI focus.","https://www.sprinklr.com","https://www.sprinklr.com/careers/","https://www.linkedin.com/company/sprinklr","https://www.sprinklr.com/about/contact/","https://sprinklr.wd1.myworkdayjobs.com/careers","actively hiring",80,"Heavily Gurgaon-weighted; mixed Glassdoor WLB reviews." 
"Uber AI (India)","Bengaluru","ML Engineer II / Applied AI Engineer","32-50 LPA","ML Engineer II in Bengaluru on Moonshot AI team (Gen AI Labeling, LLM-as-Judge);  separate Staff GenAI role in Hyderabad.","https://www.uber.com","https://www.uber.com/in/en/careers/","https://www.linkedin.com/company/uber-com","https://help.uber.com/","https://www.uber.com/global/en/careers/list/145502/","actively hiring",80,"Some ML II roles ask 4+ yrs — upper edge of Amit's range; FAANG-equivalent comp."
"Pixis","Bengaluru","ML/Data Engineer, GenAI Marketing (1-4 yrs)","25-45 LPA","$209M total (SoftBank Vision 2, General Atlantic, Touring, Chiratae, Celesta). 200+ proprietary AI models for marketing."," https://pixis.ai","https://pixis.ai/careers","https://www.linkedin.com/company/pixis-ai","hiring@pixis.ai","https://wellfound.com/company/pixis-ai/jobs","likely hiring",80,"Series C+ established; stability + equity."
"The Math Company (MathCo)","Bengaluru","Data Scientist / GenAI Engineer (NucliOS platform, 2-5 yrs)","18-28 LPA","Enterprise AI & Analytics with proprietary NucliOS (GenAI, MLOps); Gartner Magic Quadrant for D&A; Bengaluru-headquartered.","https://themathcompany.com","https://themathcompany.com/careers","https://in.linkedin.com/company/themathcompany","https://themathcompany.com/contact-us","https://themathcompany.com/careers","likely hiring",78,"6 open jobs per Indeed;  full-stack AI services."
"Eightfold AI","Bengaluru","Software Engineer / AI Platform (2-4 yrs)","30-55 LPA","$410M+ raised, $2B valuation;  AI-native Talent Intelligence Platform;  large Bengaluru R&D office; agentic AI HR systems with RAG/vector search.","https://eightfold.ai","https://eightfold.ai/company/careers/","https://www.linkedin.com/company/eightfoldai","https://eightfold.ai/contact/","https://www.linkedin.com/company/eightfoldai/jobs","actively hiring",78,"Founded by ex-Google search lead Ashutosh Garg.  Levels.fyi ₹43-65L."
"Affine","Bengaluru","Data Scientist with GenAI (3-7 yrs, Hybrid)","17-26 LPA","Active 'Data Scientist with GenAI (SEN01360)' Bengaluru hybrid 3-7 yrs;  AI CoE with hackathon culture;  explicit GenAI/LLM/RAG case studies.","https://affine.ai","https://affine.sensehq.com/careers","https://in.linkedin.com/company/affine-analytics","https://affine.ai/contact-us/","https://affine.sensehq.com/careers","actively hiring",78,"~13 yrs old; strong GenAI case studies."
"TrueFoundry","Bengaluru","AI/ML Engineer / Backend Engineer (AI Gateway)","25-40 LPA","Bengaluru office; pure AI infra play — LLM Gateway, MCP Gateway, Agent Gateway, Kubernetes-native deployment.  Fortune-1000 customers (Nvidia, Siemens, Zscaler)."," https://www.truefoundry.com","https://www.truefoundry.com/careers","https://www.linkedin.com/company/truefoundry","https://www.truefoundry.com/contact","https://wellfound.com/company/truefoundry","actively hiring",78,"Small team; intermittent mid-level entry slots."
"SpotDraft","Bengaluru","ML/AI Engineer, Legal AI (1-4 yrs)","22-40 LPA","Backed by Premji Invest, Trident, Prosus, 3one4. AI contract automation used by PhonePe, Cred, Chargebee, Unacademy.  Strong RAG use case (clause extraction).","https://www.spotdraft.com","https://www.spotdraft.com/careers","https://www.linkedin.com/company/spotdraft","via careers page","https://www.spotdraft.com/careers","actively hiring",78,"Strong legal-tech AI play."
"Groww","Bengaluru","Machine Learning Engineer I/II","17-25 LPA","Active MLE I/II roles, 1-3 yrs — matches Amit's 2+ yrs; investment platform with personalisation, KYC doc OCR, fraud detection.","https://groww.in","https://groww.in/careers","https://in.linkedin.com/company/groww","https://groww.in/contact-us","https://peerlist.io/company/groww693/careers/machine-learning-engineer-1/jobhdneap8erpnlrji7brdm8mnpaoe","actively hiring",78,"JD asks Python/ML/TF/PyTorch/SQL/BigQuery/LLMs  — explicit LLM mention."
"Adobe India","Bengaluru","Computer Scientist II / ML Engineer (Firefly GenAI)","30-50 LPA","Firefly Gen AI Models team active across Bengaluru/Noida; Computer Scientist II (mid-level) listings exist for GenAI backend/MLOps.","https://www.adobe.com","https://adobe.com/careers","https://www.linkedin.com/company/adobe","https://www.adobe.com/about-adobe/contact.html","https://careers.adobe.com/us/en/search-results","actively hiring",78,"Bulk of Firefly roles 12+ yrs Senior/Architect;  Amit fits only if CS II open."
"BigBasket (Tata Digital)","Bengaluru","ML Engineer / Data Scientist","18-30 LPA","Bengaluru HQ; AI for demand forecasting, inventory, fraud, search; Tata Digital backing post-acquisition.","https://www.bigbasket.com","https://careers.bigbasket.com/","https://www.linkedin.com/company/bigbasket","https://careers.bigbasket.com/","https://careers.bigbasket.com/","likely hiring",78,"Less public eng blog activity than Flipkart/Swiggy."
"Gramener (Straive)","Hyderabad","Generative AI Engineer / Gen AI Architect (Python, PyTorch, LLM, RAG)","17-26 LPA","Explicit Gen AI Engineer JD requires Python+PyTorch+LLMs+RAG+vector DBs+AWS/Azure;  Hyderabad is first-preference office; LLM/Agentic/MCP work.","https://gramener.com","https://gramener.com/careers/","https://in.linkedin.com/company/gramener","https://gramener.com/contact-us/","https://gramener.com/careers/generative-ai-engineer/","actively hiring",77,"Hyderabad+Bengaluru offices both in scope; Nasscom Responsible AI award 2024." 
"Observe.AI","Bengaluru","Senior / Lead ML Engineer (Speech/ASR) / Sr MLE - NLP / SDE III","18-28 LPA","Series C $213M; building Voice AI + GenAI for contact centers - solid match for Amit's LLM + production AI experience."," https://www.observe.ai","https://www.observe.ai/careers","https://www.linkedin.com/company/observeai/","https://www.observe.ai/contact","https://in.linkedin.com/jobs/observe-ai-jobs-bengaluru-area-india","actively hiring",78,"Forbes Best Startup Employers; Gartner Cool Vendor." 
"Karini AI","Bengaluru","ML/GenAI Engineer (2-4 yrs)","25-45 LPA","Enterprise Agentic AI Foundation Platform; AWS Bedrock Premier partner. RAG + agent orchestration directly maps to JD.","https://www.karini.ai","https://www.karini.ai/company/aboutus","https://www.linkedin.com/company/karini-ai","careers@karini.ai","https://jobringer.com/company-details/KARI2025114191041","likely hiring",77,"Verify city via direct outreach — Bengaluru/Pune India presence."
"HyperVerge","Bengaluru","AI/ML Engineer, KYC/Vision (2-4 yrs)","22-40 LPA","B2B KYC/identity AI; 700M+ identities verified. Computer vision + document AI. Clients: Jio, Bajaj, Grab, Cred.","https://hyperverge.co","https://hyperverge.co/careers/","https://www.linkedin.com/company/hyperverge","via careers page","https://www.instahyre.com/job-41030-artificial-intelligence-engineer-at-hyperverge-inc-bangalore/","actively hiring",76,"Production vision/document AI — adjacent to RAG, strong OCR overlap."
"MakeMyTrip","Gurgaon","ML Engineer / Data Scientist - GenAI","19-32 LPA","MMT Gurgaon HQ; OTA-scale personalization, pricing, search ranking, fraud; Myra travel assistant + GenAI Trip Planner — strong RAG use case.","https://www.makemytrip.com","https://careers.makemytrip.com/","https://www.linkedin.com/company/makemytrip","https://corporate.makemytrip.com/contact-us/","https://careers.makemytrip.com/","likely hiring",76,"AI work less publicly documented; verify role city."
"Spyne","Gurgaon","AI Lead / Computer Vision + GenAI Engineer (2-4 yrs)","20-32 LPA","Generative AI for automotive retail;  AI Lead JD lists Python, LLMs, Computer Vision, MLOps, AWS  — close stack overlap. Accel/Storm-backed."," https://www.spyne.ai","https://www.spyne.ai/careers","https://in.linkedin.com/company/spyne-ai","https://www.spyne.ai/contact-us","https://www.instahyre.com/job-361807-ai-lead-at-spyne-gurgaon/","actively hiring",75,"Cars24/Amazon/Flipkart customers.  22+ open positions."
"Acceldata","Bengaluru","Senior Software Engineer - ML / ML Ops Engineer","25-38 LPA","Data observability with new Agentic Data Management + AI/LLM observability;  ML Engineer JDs list Python/Pandas/SQL/API + fine-tuning."," https://www.acceldata.io","https://www.acceldata.io/careers","https://www.linkedin.com/company/acceldata","https://www.acceldata.io/contact-us","https://jobs.lever.co/acceldata","actively hiring",75,"Levels.fyi median SE ₹42.8L;  ML Ops + Staff ML roles live." 
"Shipsy","Gurgaon","AI/ML Engineer, Logistics AI (2-4 yrs)","20-38 LPA","$35M raised (Sequoia/Peak XV, Infoedge, A91). Processes 2M+ shipments/day; 10% of India's container trade. AI-powered platform.","https://shipsy.io","https://shipsy.io/careers/","https://www.linkedin.com/company/shipsy","via careers page","https://jobs.smartrecruiters.com/Shipsy/744000002697115-senior-software-engineer","actively hiring",75,"Logistics-AI vertical; Gurgaon HQ."
"Slice","Bengaluru","ML Infrastructure / ML Engineer","22-30 LPA","Small-finance bank building AI-first banking stack;  ML infra, LLM/SLM deployment, doc-OCR for KYC and risk.","https://www.slice.bank.in","https://slice.bank.in/careers/","https://in.linkedin.com/company/sliceit","https://slice.bank.in/help","https://in.talent.com/view?id=ce528b0da726","actively hiring",75,"ML Infra role is sr-level; for 2+ yrs target ML Engineer I/II."
"Uniphore","Bengaluru","Senior AI Engineer / AI Scientist / Sr SWE (AI Platform - LLMOps, RAG)","20-32 LPA","Enterprise Business AI platform with composable AI Agents and RAG/agentic workflows."," https://www.uniphore.com","https://www.uniphore.com/careers/","https://in.linkedin.com/company/uniphore/","https://www.uniphore.com/contact-us/","https://in.linkedin.com/jobs/uniphore-jobs-bengaluru","actively hiring",74,"39+ Bengaluru roles; JDs mention LoRA/QLoRA, MLOps/LLMOps, vector DBs, RAG." 
"PhysicsWallah (PW)","Gurgaon (Noida-NCR)","ML / GenAI Engineer (1-3 yrs)","20-30 LPA","Lightspeed/WestBridge-backed unicorn; expanding AI tutor + content generation; Noida HQ  and Bengaluru tech center.","https://www.pw.live","https://jobs.lsvp.com/jobs/physicswallah","https://in.linkedin.com/company/physicswallah","https://www.pw.live/contact-us","https://in.linkedin.com/jobs/physicswallah-jobs","actively hiring",74,"Noida is NCR — confirm if acceptable. Bengaluru office also exists."
"Verloop.io","Bengaluru","Sr. Software Engineer - Data & AI / Full Stack (Voice & Chat AI)","16-26 LPA","Conversational AI (voice + chat) platform serving banking  - LLM/NLP/voice AI.","https://www.verloop.io","https://www.verloop.io/careers-opportunities/","https://in.linkedin.com/company/verloopio","https://www.verloop.io/contact","https://verloop-team.freshteam.com/jobs","actively hiring",73,"LLM-driven Voice AI for BFSI. Glassdoor 4.2/5." 
"OkCredit","Bengaluru","Machine Learning Engineer","20-28 LPA","Active MLE role: merchant ledger ML on mixed structured/unstructured/image/text data — explicit OCR + doc AI overlap.","https://okcredit.in","https://okcredit.in/career","https://in.linkedin.com/company/okcreditofficial","https://okcredit.in/contact","https://www.instahyre.com/job-83704-ml-engineer-at-okcredit-bangalore/","likely hiring",72,"Levels.fyi median SDE ~₹34L. Smaller team but high-ownership."
"Hevo Data","Bengaluru","AI Solution Engineer / SDE II-III (Data + AI)","25-35 LPA","No-code data pipeline platform  pivoting to 'data unification for analytics and AI'; AI Solution Engineer + SDE II roles open."," https://hevodata.com","https://hevodata.com/careers/","https://www.linkedin.com/company/hevo-data","https://hevodata.com/contact/","https://hevodata.com/careers/","actively hiring",72,"Less dedicated AI-engineer roles than Postman/Hasura."
"Urban Company","Gurgaon","ML Engineer / Data Scientist","18-30 LPA","Gurgaon HQ; ML for partner-matching, demand forecasting, fraud detection, dynamic pricing; growing AI team.","https://www.urbancompany.com","https://www.urbancompany.com/careers","https://www.linkedin.com/company/urbancompany","https://www.urbancompany.com/contact","https://www.urbancompany.com/careers","likely hiring",72,"Smaller ML team than top-tier."
"ShareChat / Mohalla Tech","Bengaluru","ML Engineer / Staff MLE - Feed AI / Ads ML","22-36 LPA","325M MAU;  ML powers feed ranking, candidate gen, ads CTR/CVR, recsys at 100M+ user scale; Staff MLE Feed AI  and Ads MLE actively posted.","https://sharechat.com","https://sharechat.com/careers","https://www.linkedin.com/company/sharechat","https://sharechat.com/contact","https://in.linkedin.com/jobs/sharechat-jobs","actively hiring",87,"Heavy recsys/ranking focus rather than RAG/LLM. TF/PyTorch + Kafka/Spark/Databricks."
"Freshworks","Bengaluru","Senior Data Scientist / ML Engineer (Freddy AI)","28-42 LPA","Freddy AI platform (Agent + Copilot + Insights) flagship enterprise GenAI;  team hires ML/GenAI engineers in Bengaluru.","https://www.freshworks.com","https://www.freshworks.com/company/careers/","https://www.linkedin.com/company/freshworks","https://www.freshworks.com/company/contact/","https://careers.smartrecruiters.com/freshworks","actively hiring",70,"Majority of AI/ML roles Chennai-based; apply only if explicit Bengaluru."
"KreditBee","Bengaluru","AI/ML Engineer (Lending)","18-26 LPA","Newly minted unicorn (Apr 2026, $1.5B); raised $280M with explicit AI-roadmap mandate — risk scoring, doc/KYC OCR, alt-data underwriting.","https://www.kreditbee.in","https://www.kreditbee.in/career","https://in.linkedin.com/company/kreditbee","https://www.kreditbee.in/contact-us","https://www.hirist.tech/j/kreditbee-senior-software-engineerlead-engineertech-lead-artificial-intelligence-nitiit-5-10-yrs-1627906","actively hiring",70,"Pre-IPO upside; for 2+ yrs target ML Engineer I."
"Scaler / InterviewBit","Bengaluru","AI Platform / GenAI Engineer (2-4 yrs)","22-35 LPA","Series B ($76.5M, Peak XV/Tiger Global);  built in-house AI Companion + Forward Deployed Engineer team; AI-integrated curriculum."," https://www.scaler.com","https://www.scaler.com/careers/","https://in.linkedin.com/school/scalerofficial","https://www.scaler.com/contact","https://in.linkedin.com/jobs/scaler-jobs","actively hiring",70,"Edtech with strong AI engineering team."
"LatentView Analytics","Bengaluru","Data Scientist (GenAI, Python, ML)","15-24 LPA","Bengaluru office at Cessna Business Park ORR;  21 open roles incl. Data Scientist/Engineer;  AI/ML solutions for global clients.","https://www.latentview.com","https://www.latentview.com/career/","https://in.linkedin.com/company/latentview-analytics","https://www.latentview.com/contact/","https://www.latentview.com/career/","actively hiring",70,"More traditional analytics tilt; salary slightly below target."
"Apna","Bengaluru","ML/NLP Engineer","18-30 LPA","India's largest job platform 'AI-driven';  matching algorithms; NLP for job-description parsing, candidate-job ranking; 50M+ verified candidates."," https://apna.co","https://apna.co/careers","https://www.linkedin.com/company/apnahq","https://employer.apna.co/","https://in.linkedin.com/jobs/apna-jobs","likely hiring",70,"NLP-heavy; less GenAI/RAG public work."
"GreyOrange","Gurgaon","ML/Robotics Engineer (2-4 yrs)","25-45 LPA","AI-driven warehouse fulfillment robotics; GreyMatter OS uses applied AI. Multi-million $ raised; global Fortune-500 customers.","https://www.greyorange.com","https://www.greyorange.com/company/careers/","https://www.linkedin.com/company/greyorange","via website","https://www.greyorange.com/company/careers/","actively hiring",70,"Robotics-AI; fit if open to applied AI over pure LLM."
"Kore.ai","Hyderabad","Senior Software Engineer (Agentic AI, LangChain, RAG) / AI Evaluation Specialist","18-28 LPA","Multiple Hyderabad-based roles require Python, Node.js, RAG, LLMs, Vector DBs, Opensearch, Weaviate - direct fit."," https://www.kore.ai","https://www.kore.ai/careers","https://www.linkedin.com/company/kore-inc/","https://www.kore.ai/about-us","https://www.uplers.com/company/koreai-5472","actively hiring",76,"18 open roles in Hyderabad; multiple LangChain/RAGAS/AutoGen/GPT-4 roles." 
"BharatPe","Gurgaon","Software Developer - AI","18-26 LPA","Open 'Software Developer – AI' role in Gurgaon; merchant lending = invoice/doc OCR, fraud, conversational AI.","https://bharatpe.com","https://bharatpe.com/career/","https://in.linkedin.com/company/bharatpe","https://bharatpe.com/contact-us","https://unstop.com/jobs/software-developer-ai-bharatpe-1550223","likely hiring",68,"NCR location satisfies filter; ran AWS x BharatPe Hackathon." 
"Doubtnut","Gurgaon","AI/ML Engineer - NLP/OCR (2-5 yrs)","18-28 LPA","$50.7M raised;  ed-tech AI heavy (image-to-question via CV + NLP + OCR);  explicit AIML Engineer JD listing Python, ML, OCR, Elasticsearch."," https://www.doubtnut.com","https://www.instahyre.com/jobs-at-doubtnut/","https://in.linkedin.com/company/doubtnut","https://www.doubtnut.com/contact-us","https://www.instahyre.com/job-57152-aiml-engineer-at-doubtnut-gurgaon/","actively hiring",68,"Some restructuring noise in 2023-24; verify activity."
"Tata Elxsi","Bengaluru","Senior AI Engineer / ML & GenAI Expert (3-6 yrs)","16-26 LPA","'ML/AI & GenAI Expert' JD requires Python+PyTorch+HuggingFace+LangChain+Vertex AI+CI/CD+Docker — direct match.","https://www.tataelxsi.com","https://www.tataelxsi.com/careers","https://www.linkedin.com/company/tataelxsi","https://www.tataelxsi.com/contact-us","https://www.tataelxsi.com/careers/job-openings/mlai-genai-expert","actively hiring",68,"Larger design/engineering firm — AI growing practice, not core."
"Junglee Games (Flutter)","Gurgaon","ML Engineer III","20-34 LPA","Flutter parent;  ML Engineer III JR137019 open in Gurgaon + Bengaluru; Classical ML + DL + Transformer; Databricks/MLflow/Model Serving."," https://www.jungleegames.com","https://www.jungleegames.com/careers","https://www.linkedin.com/company/junglee-games","https://www.jungleegames.com/contact-us","https://careers.flutterinternational.com/jobs/jr137019/ml-engineer-iii","actively hiring",68,"Strong Databricks + Transformer stack; Flutter Entertainment $30B+ parent."
"Cropin","Bengaluru","Senior ML / AI Engineer - Ag-Intelligence (2-4 yrs)","20-32 LPA","Funded by Gates Foundation, Google, JSR Corp, ABC Impact, Chiratae; agentic AI for agriculture; partners with Walmart, PepsiCo.","https://www.cropin.com","https://www.cropin.com/career/","https://in.linkedin.com/company/cropin-technology","https://www.cropin.com/contact","https://in.linkedin.com/jobs/cropin-technology-jobs","actively hiring",68,"Pioneer agritech AI; GenAI for crop intelligence."
"SuperAGI","Bengaluru","AI Engineer, Agentic LAM (2-4 yrs)","22-42 LPA","Pivoted Jul 2025 to agentic AI / large action models for marketing-sales-support. Bengaluru HQ (Koramangala) confirmed.","https://superagi.com","https://superagi.com/careers","https://www.linkedin.com/company/superagi","via website","https://superagi.com/careers","likely hiring",67,"Pivot fresh — verify role openness."
"Bito.ai","Pune","AI Engineer - Codegen / RAG (2-4 yrs)","22-38 LPA","Founded by PubMatic founders; AI Code Review Agent + AI Architect knowledge-graph; over 100K developers; SOC2 Type II.","https://bito.ai","https://bito.ai/careers/","https://www.linkedin.com/company/bitodev","https://bito.ai/about-us/","https://www.naukri.com/bito-technologies-jobs-careers-1685726","actively hiring",65,"India team in Pune. Strong RAG + knowledge-graph + AST + embeddings stack."
"EXL Service (Analytics/AI)","Gurgaon","Data Scientist with GenAI / AI Engineer (Python, ML, LLMs)","16-26 LPA","1,500+ data scientists globally; 'Data Scientist with GenAI' postings in Gurgaon and Bengaluru; AI/analytics-led digital ops.","https://www.exlservice.com","https://www.exlservice.com/careers","https://www.linkedin.com/company/exl-service","https://www.exlservice.com/contact-us","https://fa-ewjt-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/jobs?location=India","actively hiring",65,"Large BPM-leaning firm — closer to TCS/Infosys profile but explicit DS arm."
"DeHaat (Green Agrevolution)","Gurgaon","Data Scientist / ML Engineer (2-4 yrs)","18-28 LPA","Sequoia/Prosus-backed agritech unicorn-adjacent; AI-enabled supply chain + farm decisioning across 5M farmers.","https://agrevolution.in","https://www.instahyre.com/jobs-at-dehaat-green-agrevolution/","https://in.linkedin.com/company/dehaatofficial","https://agrevolution.in/contact","https://consider.com/boards/vc/sequoia-capital-india/jobs/dehaat?locations=Gurgaon,+India","actively hiring",65,"Mostly classical ML / forecasting; match moderate."
"Soket AI Labs","Gurgaon","ML/AI Engineer (Foundation Models, Project EKA, Indic LLM)","18-28 LPA","Govt-selected (IndiaAI Mission) to build 120B-param sovereign Indic LLM; open-source Pragna model.","https://soket.ai","https://soket.ai/","https://in.linkedin.com/company/soketlabs","https://soket.ai/","","outreach target",65,"NVIDIA Inception + AWS Activate. Cold email founder Abhishek Upperwal via LinkedIn."
"Paytm","Gurgaon (Noida-NCR)","AI/ML Engineer / Data Scientist","18-30 LPA","Noida HQ; Paytm has fintech-scale ML for fraud/credit/recsys; investing in GenAI for merchant support.","https://www.paytm.com","https://jobs.paytm.com/","https://www.linkedin.com/company/paytm","https://paytm.com/care","https://jobs.paytm.com/","likely hiring",62,"Location caveat: Paytm HQ Noida (UP/NCR). Hiring reduced post-RBI restrictions."
"Tonbo Imaging","Bengaluru","Computer Vision / Deep Learning Engineer (2-4 yrs)","18-30 LPA","Defense CV/ML; profitable scale-up; ML/CNN/3D-geometry roles; supplies India MoD + exports.","https://tonboimaging.com","https://tonboimaging.com/defense/careers/","https://www.linkedin.com/company/tonbo-imaging","https://tonboimaging.com/contact","https://www.jobaaj.com/company/tonbo-imaging-careers","actively hiring",60,"Stack C++/CUDA/CV not Python/RAG — partial fit. Hires from IIT/IISc."
"AiSensy","Gurgaon","Backend/AI Engineer, WhatsApp AI (1-3 yrs)","12-22 LPA","WhatsApp Business API + AI engagement for 100,000+ businesses; Gurgaon HQ.","https://www.aisensy.com","https://careers.aisensy.com/bdroles","https://www.linkedin.com/company/aisensy","via careers page","https://cutshort.io/company/aisensy-51-EaDC3mSD","actively hiring",60,"Lower comp band; more conversational/CRM than pure RAG/LLM."
"Niramai Health Analytix","Bengaluru","Research Engineer - ML","12-20 LPA","Pure-play AI healthtech (Thermalytix breast-cancer detection); deep learning on thermal images.","https://niramai.com","https://niramai.com/careers/","https://in.linkedin.com/company/niramai-health-analytix","https://niramai.com/contact-us/","https://niramai.com/career/research-associate/","likely hiring",60,"Salary band lower than target; CV/medical imaging rather than RAG/LLM."
"Atomic Loops","Pune","AI/ML Engineer (1-3 yrs)","12-22 LPA","Boutique GenAI/ML consultancy serving global clients (200+ AI deployments); FastAPI/Python/LLM expertise.","https://www.atomicloops.com","https://www.atomicloops.com/careers","https://in.linkedin.com/company/atomicloops","https://www.atomicloops.com/contact","https://cutshort.io/job/AI-ML-Intern-Pune-AccioJob-RMTnpiK5","actively hiring",55,"Pune location box-tick. Smaller/services orientation — backup."
