"company_name","location","role_title","salary_range_lpa","funding_stage","recent_signal","match_reason","company_url","careers_page","linkedin_company_page","contact_page","job_url","hiring_status","priority_score","cold_outreach_angle","notes"
"Stimuler","Bengaluru","Senior MLE - Applied Science","20-50","Seed ($1M+ disclosed, SV VCs)","AWS Generative AI Accelerator 2025 cohort  (Oct 2025); active hiring 6 roles incl. Backend, Mobile, MLE Jan 30 2026","Voice-first AI tutor  with proprietary speech analysis + Gen-AI feedback loop; 85% paying users outside India","https://stimuler.tech/","https://stimuler.tech/careers","https://www.linkedin.com/company/stimuler","https://stimuler.tech/","https://stimuler.tech/careers","actively hiring",81,"'Your applied science roles match my profile 1:1 — production RAG (95% MRR, 50K q/mo, Milvus/Qdrant/FAISS), multi-model orchestration, LLM eval, Azure-certified.'","Founders Akshay Akash, Anesh Srivastav, Ankit Pandey, Akshat Baranwal (IIT-BHU); 100K+ users"
"Jhana.ai","Bengaluru","Backend AI Engineer (RAG, Legal LLMs)","20-35","Seed ($1.6M / ₹15Cr+)","Jan 2026 CADRE ODR partnership (online arbitration); 10K+ users incl. 150+ judges; 16M+ document National Legal Archive","India's largest legal RAG over 16M+ judgments; explicit 'verifier + graph models for legal ontologies' = RAG with hallucination control","https://jhana.ai/","https://jhana.ai/about/","https://www.linkedin.com/company/jhana-ai","Founders via LinkedIn","https://www.linkedin.com/company/jhana-ai","likely hiring",81,"'Your moat = RAG accuracy + citation verification on 16M legal docs. Lead with my 95% MRR + LLM eval frameworks — maps to your agents-always-cite product claim.'","Founders Hemanth Bharatha Chakravarthy, Em McGlone, Ben Hoffner-Brodsky;  Together Fund + Razorpay founders + Kunal Shah + Shyamal Anadkat (OpenAI)" 
"Pipeshift","Bengaluru","ML / Inference Engineer","25-45","Seed ($3.19M, YC S24)","Q1'26 $1M+ run rate; Qwen/Alibaba partnership; 288 B300 GPUs over InfiniBand; 571 tok/sec","Open-source LLM fine-tuning + multi-model serving (Qwen/Llama exactly in Amit's stack)","https://pipeshift.com/","https://wellfound.com/company/pipeshift","https://www.linkedin.com/company/pipeshift","https://pipeshift.com/","https://www.workatastartup.com/companies/pipeshift","likely hiring",80,"'I run Qwen + Llama + GPT-4o in prod with multi-model routing — saw your Qwen partnership and 571 tok/sec bench. Help your customers migrate off OpenAI APIs (I've done that migration twice).'","Founders Arko Chattopadhyay,  Pranav Reddy, Enrique Ferrao; 17-employee team; SF + Bangalore"
"Avaamo","Bengaluru + Los Altos","Lead/Architect Conversational AI / Lead ML Engineer","22-45","Venture funded (Series C reported)","5+ active Bengaluru openings; 100+ enterprise customers; 2B+ interactions/yr in 114 languages","Multimodal GenAI platform with LLaMB lifecycle tooling, agent-assist, dynamic prompting","https://avaamo.ai/","https://avaamo.ai/careers-conversation-designer/","https://www.linkedin.com/company/avaamo","https://avaamo.ai/contact-us/","https://in.linkedin.com/jobs/avaamo-jobs","actively hiring",80,"'Position 50K+ q/mo production RAG and OCR/doc-AI as healthcare/HR vertical-specific assistants — Avaamo's strongest verticals.'","Founded by TIBCO/SAP/Siebel/Apple veterans" 
"Segmind","Bengaluru","ML / Generative AI Engineer","15-35","Series A (Eclipse Ventures led)","PixelFlow no-code GenAI workflow builder; 750K+ developer signups; 100+ AI models hosted","Serverless GenAI media platform — text/image/video/audio inference  + workflow orchestration","https://www.segmind.com/","https://wellfound.com/company/segmind/jobs","https://in.linkedin.com/company/segmind","https://www.segmind.com/","https://wellfound.com/company/segmind/jobs","likely hiring",80,"'I ship multi-model orchestration (GPT-4o, Gemini, Qwen, Llama) and serverless RAG on AWS Lambda — your PixelFlow + dedicated endpoints is the exact infra plane I want to build on.'","Founders Ganesh Subramanian  + 4; Paradigm Shift, All In Capital" 
"SigTuple","Bengaluru","ML/CV Engineer (Digital Pathology)","20-35","Series C+ ($45M+; Accel, IDG, Trifecta, pi Ventures)","2024-25 HORIBA India partnership for AI100 digital pathology; CII IP Award; 19 patents","2-stage custom CNN on WSI images for cervical/prostate/lung/thyroid cancer; PyTorch, GradCam","https://sigtuple.com/","https://sigtuple.com/","https://in.linkedin.com/company/sigtuple","https://sigtuple.com/","https://in.linkedin.com/company/sigtuple","likely hiring",80,"'Your AI100 + 2-stage CNN on WSIs is high-impact CV. I bring multi-model LLM orchestration on top for radiology-style structured-report generation.'","Founder Dr. Tathagato Rai Dastidar (IIT KGP)" 
"Crustdata","Bengaluru","Backend / Full-Stack Engineer (Data + AI Agents)","20-40","Seed ($6M; YC + GC + SV Angel + A.Capital, 2025)","Hosted ContextCon Apr 2025 — first YC India hackathon; 200+ AI-native products use their data incl. YC, MNTN, Agent.ai","Real-time B2B + web-search API for AI agents = retrieval optimization + entity-linking = Amit's RAG domain","https://crustdata.com/","https://www.workatastartup.com/companies/30076","https://www.linkedin.com/company/crustdata","https://crustdata.com/","https://www.ycombinator.com/companies/crustdata/jobs","actively hiring",78,"'You're building a structured-retrieval engine for agents — exactly the retrieval-optimization problem I solved getting to 95% MRR. Let's discuss your Web Search API indexing.'","Co-founders Abhilash Chowdhary  (Bengaluru), Manmohit Grewal, Chris Pisarski; 10+ open roles" 
"Hypergro.ai","Bengaluru (HSR Layout)","AI/ML / Backend Engineer","12-25","Seed ($1.76M total; Mar 2025)","Mar 2025 seed;  Google for Startups AI First 2024; Google/Meta/OpenAI early-access partnerships;  140+ paid clients","Hyper-personalized  GenAI video ads  using GPT/Claude + proprietary models  = multi-model orchestration","https://hypergro.ai/","https://wellfound.com/company/hypergro-ai","https://in.linkedin.com/company/hypergro","https://hypergro.ai/","https://wellfound.com/company/hypergro-ai","actively hiring",78,"'Your multi-LLM architecture (ChatGPT + Claude + open-source) for ad gen is exactly the orchestration I run in production (95% MRR, 50K q/mo).'","Founders Rituraj Biswas (ex-ShareChat), Neha Soman;  41 employees" 
"HealthPlix","Bengaluru","ML Engineer / Data Scientist (Clinical Decision Support)","18-30","Series B ($23.5M+; Lightspeed, JSW, Kalaari, Chiratae, Avataar, SIG)","ISO 27001:2022 certified; 12K+ doctors, 30M+ patients, 370+ cities","AI-powered EMR (clinical decision support, ML-driven Rx) across 16 specialties — doc-AI + structured clinical text","https://www.healthplix.com/","https://healthplix.pro/careers-page/","https://in.linkedin.com/company/healthplixtech","https://www.healthplix.com/overview-healthplix","https://healthplix.pro/careers-page/","likely hiring",78,"'Building clinical decision support over EMR text is exactly where my doc-AI + RAG (Milvus/Qdrant, multi-model GPT-4o/Gemini) shines — 50K q/mo in prod today.'","Founders Sandeep Gudibanda, Prasad Basavaraj, Raghuraj Sunder Raju" 
"Hivel (Insightly)","Hyderabad (Puppalaguda)","Backend/AI Engineer (Eng Analytics + GenAI)","20-35","Seed (~$1.5M+; eyeing Series A)","Launched AI Code Review Agent (Marco) + AI Impact ROI 2025; clients PharmEasy, PhysicsWallah, Freshworks, PolicyBazaar","RAG  over engineering tools (Git/JIRA/CI-CD) = direct RAG/vector-search; Marco code-review agent uses LLM eval","https://www.hivel.ai/","https://www.hivel.ai/about-us","https://www.linkedin.com/company/hivelai","careers@hivel.ai","careers@hivel.ai","actively hiring",78,"'CEO Sudheer Bandaru openly posts on LinkedIn about hiring. My RAG-on-50K-q number is the metric his data-driven engineering analytics positioning rewards.'","Founder Sudheer Bandaru (multi-decade CTO, ex-Aviso); Together Fund + BlueLotus + Ola/Uber angels" 
"Reverie Language Tech","Bengaluru","Software Engineer - Python & NLP","12-22","Acquired (Reliance Jio Platforms)","36 open Indeed jobs incl. Python/NLP SWE; 22 Indic languages","Indic NLP/STT/TTS/MT — literal scope fit; Python+NLP role match","https://reverieinc.com/","https://careers.reverieinc.com/","https://in.linkedin.com/company/reverie-language-technologies-pvt--ltd","https://reverieinc.com/contact-us/","https://in.indeed.com/cmp/Reverie-Language-Technologies","actively hiring",75,"'Connect my multi-model orchestration (Qwen/Llama for cost-efficient Indic inference) to Reverie's 22-language scale.'","Strategic backing reduces stage risk; salary range ₹3.6L-85L per public data" 
"Newton School","Bengaluru","Applied AI Engineer (NST)","18-32","Series B ($30.68M+; A91, Steadview, RTP Global, Nexus)","Scaling NST 4-year BTech in CS+AI; Goa Govt partnership; hiring Technical Content - AI Eng Intern","NST CS+AI degree + AI-IDE + AI mock interviews + AI evaluation = applied AI engineering","https://www.newtonschool.co/","https://careers.newtonschool.co/","https://www.linkedin.com/company/newton-school","https://www.newtonschool.co/","https://careers.newtonschool.co/newtonschool/jobview/technical-content-ai-engineering-intern-bengaluru-karnataka-india-2026042114113945","actively hiring",75,"'Your AI-IDE + AI mock interviews need solid eval + RAG over learner code/voice — exactly what I've shipped at 95% MRR.'","Founders Siddharth Maheshwari (IIT-R), Nishant Chandra (ex-Unacademy);  Hosur Rd" 
"Phot.AI","Gurgaon (Sector 65)","ML / Backend Engineer (GenAI imaging)","12-25","Seed ($2.7M Mar 2024; Info Edge + Better Capital)","AWS GenAI Accelerator 2024;  Google for Startups AI First 2025; Product Hunt POTD; clients Shiprocket, Fashinza, Dukaan","Full-visual  GenAI design — text-to-image, product photography;  rare Gurgaon GenAI lab","https://www.phot.ai/","https://www.phot.ai/about-us","https://in.linkedin.com/company/phot-ai","https://www.phot.ai/contact-us","https://www.phot.ai/about-us","likely hiring",74,"'Your e-commerce creative automation = where my OCR/doc-AI + multi-model orchestration production experience compounds.'","Founders Venus Dhuria, Akshit Raja, Aneesh Rayancha;  56 employees; Suncity Success Tower" 
"Aindra Systems","Bengaluru (JP Nagar)","ML/CV Engineer (Digital Pathology)","16-28","Seed ($304K, Villgro); India-Sweden Innovation; A.Catalyst","2024-25 CervAstra via AIIMS Jodhpur clinical validation; rural Maharashtra pilots","CervAstra + Astra platform for cervical cancer detection; smaller team = high ownership","https://aindra.in/","https://wellfound.com/company/aindra-systems","https://in.linkedin.com/company/aindra-systems","https://aindra.in/","https://wellfound.com/company/aindra-systems","likely hiring",72,"'Aindra's continuous-learning loop with pathologist feedback = HITL system I love — I bring LLM eval + multi-model orchestration on top of your CV stack.'","Founder Adarsh Natarajan (IIM-B); Bangalore Bioinnovation Centre" 
"Vizzhy","Bengaluru (HQ Texas, India eng in Bengaluru)","ML / NLP Research Engineer (healthcare LLM)","18-40","Self-funded / Strategic (₹100Cr+ committed; UPitt + UIUC partnerships)","GAINMED platform launched May 2025 with UPitt; imported NVIDIA DGX H100 + 256 GPUs; 40 data scientists in Bengaluru","Multi-omics healthcare LLM lab — multimodal (text/image/audio/video); Indic coverage with IIT-B","https://www.vizzhy.com/","https://www.vizzhy.com/","https://www.linkedin.com/company/vizzhy","https://www.vizzhy.com/","https://www.vizzhy.com/careers","outreach target",72,"'A multi-modal healthcare LLM with Indic-language coverage is the multi-model + LLM-eval challenge I've productionised at 95% MRR / 50K q/mo.'","Founder Dr Vishnu Vardhan Pogunulu (MIT MS + MBA); 40+ data scientists Bengaluru" 
"Boomerang AI","Bengaluru (verify)","AI Engineer / Backend (Relationship Intelligence)","22-38","Seed","Founder Shankar Ganapathy (ex-Mindtickle/BuyerAssist) rebranded BuyerAssist → Boomerang AI; Stellaris portfolio","Relationship graph + job-change detection over CRM  = vector embeddings + RAG over engagement history","https://www.getboomerang.ai/","https://www.getboomerang.ai","https://www.linkedin.com/company/boomerang-ai","Founder Shankar Ganapathy via LinkedIn","https://www.linkedin.com/company/boomerang-ai","outreach target",72,"'Pitch yourself for the embedding/vector-search work over relationship graphs. Smaller team = high impact.'","Founders Shankar Ganapathy, Amit Dugar, Shyam HN; verify Bengaluru eng concentration before outreach"
"Together AI (India)","Bengaluru","Customer Support Engineer GPU Cluster / Solutions Architect","20-40","Series B ($300M+; Salesforce Ventures + Coatue + NVIDIA)","Bengaluru role on Levels.fyi ~1 month ago; Forbes AI 50 (2 yrs); 60K+ developers on Together API","Open-source AI inference cloud + vector + RAG infra; Qwen/Llama serving","https://www.together.ai/","https://www.together.ai/careers","https://www.linkedin.com/company/togethercomputer","https://www.together.ai/contact","https://job-boards.greenhouse.io/togetherai","likely hiring",72,"'Highlight running Qwen + Llama in production via Together API style — your stack is a clear talking point.'","India presence small; emphasize willingness to help build Bengaluru team"
"Wokelo AI","Bengaluru (HQ Seattle, India eng)","Backend Engineer (Python/Django)","16-25","Seed (oversubscribed Aug 2023; serves KPMG, SoftBank)","Inc42 'top 30'; agentic platform for deal sourcing on 20M+ company DB","GenAI research platform using GPT + Llama + Cohere = multi-LLM; agentic RAG for research","https://www.wokelo.ai/","https://www.wokelo.ai/careers","https://www.linkedin.com/company/wokelo-ai","https://www.wokelo.ai/","https://wellfound.com/company/wokelo-ai/jobs","actively hiring",70,"'Orchestrating multiple LLMs (GPT/Llama/Cohere) for high-fidelity research = retrieval+eval problem I solved at 95% MRR. Let me show my eval framework on PE-style queries.'","Founders Siddhant Masson, Saswat Nanda (ex-consultants); 2-4 yr backend SaaS profile fits Amit"
"NxtWave","Hyderabad (Gachibowli)","Lead AI/ML Curriculum Developer / Applied AI Eng","18-30","Series A ($33M; Greater Pacific Capital, Orios)","WEF Tech Pioneer 2024; Forbes 30U30 founders; Telangana Govt MoU for GenAI upskilling of 1L students","Edtech with AI/ML curriculum + India AI Impact Summit GenAI buildathon winners","https://www.ccbp.in/","https://www.ccbp.in/careers","https://in.linkedin.com/company/nxtwave-disruptive-technologies","https://www.ccbp.in/","https://www.linkedin.com/jobs/nxtwave-jobs-worldwide","actively hiring",70,"'Saw your GenAI buildathon + Telangana MoU — I run prod RAG at 50K q/mo and would love to help build the Applied-AI track or internal AI tooling.'","Founders Rahul Attuluri (ex-Amazon, IIIT-H), Sashank Reddy (IIT-B), Anupam Pedarla (IIT-KGP)"
"Dview","Bengaluru","AI / Backend Data Engineer","12-25","Seed ($1.3M Nov 2022, Info Edge + Capital 2B)","Google for Startups AI First India 2025; 4x rev growth  in Google's GFS 2026 blog; launched DSense AI talk-to-data","DSense extracts insights from PDF/Excel/centralised data in NL  — OCR/doc AI + RAG + vector search","https://dview.io/","https://dview.io/","https://in.linkedin.com/company/dview-io","https://dview.io/","https://dview.io/","likely hiring",70,"'DSense = the talk-to-your-data layer I've built with Milvus/Qdrant + multi-model routing at 95% MRR. Let's take Dview's RAG accuracy to the next bar.'","Founders Kauts Shukla, Supratik Shankar,  Sadé Robinson" 
"Drishya AI Labs","Bengaluru (Chamarajpete)","Senior Data Scientist / AI Engineer (Generative + Agentic)","18-35","Early/Growth (NASSCOM Emerge 50 deep-tech)","Featured at ENRich 2025 + DigiOil 2023; expanding agentic AI for industrial assets","Industrial agentic AI + RAG over engineering docs (P&IDs, ISOs) = contextual-graph + LLM eval","https://www.drishya.ai/","https://www.drishya.ai/contact-us","https://www.linkedin.com/company/drishya-ai/","https://www.drishya.ai/contact-us","https://www.linkedin.com/company/drishya-ai/jobs","likely hiring",69,"'Frame OCR/doc-AI + vector search as directly applicable to P&ID → contextual-graph;  highlight LangGraph/CrewAI experience.'","CEO Amardeep Sibia; energy-transition focus"
"BlueOptima","Bengaluru","ML Engineer (NLP) / ML Data Engineer / AI/ML Engineer","16-32","Bootstrapped/profitable (doubled headcount + revenue YoY)","13+ Bengaluru jobs on LinkedIn; hiring ML NLP, AI/ML, ML Data Engineer","Code-intelligence platform with ML over billions of dev-activity data points; NLP role aligns","https://www.blueoptima.com/","https://www.blueoptima.com/careers/","https://in.linkedin.com/company/blueoptima","https://www.blueoptima.com/about-us/","https://in.linkedin.com/jobs/blueoptima-jobs","actively hiring",68,"'Connect production RAG/eval to BlueOptima's developer-productivity metrics; mention multi-model + vector search.'","9 of world's top-12 universal banks as customers" 
"Mili AI","Bengaluru (India eng team; serves US)","Founding ML / Backend Engineer","18-35","Seed ($2M Dec 2024, Chiratae + BoldCap)","Closed $2M Dec 17 2024; Google for Startups AI First India 2025; SOC2 certified","AI meeting assistant  + workflow automation for wealth advisors — RAG + LLM + compliance","https://getmili.ai/","https://getmili.ai/","https://www.linkedin.com/company/getmili-ai","https://getmili.ai/","https://getmili.ai/","actively hiring",68,"'Your secure, compliant AI meeting platform for advisors = RAG-with-eval done right. I run that at 95% MRR / 50K q/mo with FastAPI + Milvus.'","Founders Chirag Gandhi, Vennela Miryala, Siddharth Bulia; 300K+ wealth advisors / $48T AUM TAM" 
"Openstream.ai","Bengaluru (engineering)","ML / NLP Engineer / Research Scientist","20-40","Series C ($30M+ raised)","Gartner Emerging Tech 2024 Sample Vendor;  2024 patent for multimodal digital twins","Multimodal  plan-based conversational AI (Eva);  dialogue state tracking + NLG  + RAG over enterprise KB","https://openstream.ai/","https://openstream.ai/careers","https://www.linkedin.com/company/openstream","https://openstream.ai/","https://openstream.ai/careers/research-fellow","likely hiring",66,"'Your neuro-symbolic + plan-based Eva = the multimodal evaluation harness I've been building (95% MRR, 50K q/mo, GPT-4o/Gemini/Qwen/Llama).'","India engineering hub explicit on careers page; cold outreach to research head"
"Ozonetel","Hyderabad (Madhapur)","AI/ML Engineer (Voice AI Agents) / Conversational AI","12-24","Series A INR 370M (Stakeboat Capital)","Launched Agentic AI 'oneCXi' platform 2025; voice AI agents w/ Gen-AI; 2500+ business customers","Mature  voice + conversational AI w/ LLMs, agent assist, knowledge repository = RAG + voice","https://ozonetel.com/","https://ozonetel.com/careers/","https://in.linkedin.com/company/ozonetel-systems","https://ozonetel.com/contact-us/","https://www.naukri.com/ozonetel-systems-jobs-careers-2523072","actively hiring",65,"'Map 50K+ q/mo RAG to Ozonetel's customer-conversation intelligence vault.'","Only Hyderabad-HQ voice-AI option; founders Atul Sharma/Murthy Chintalapati" 
"Avataar.ai","Bengaluru (Prestige Tech Park, ORR)","AI / ML Engineer (Agentic Platform, SLMs)","25-50","Series B ($55.5M; Peak XV + Tiger Global)","Pivoted from 3D/AR to agentic enterprise AI with distilled SLMs","Agentic AI platform with multi-modal + distilled SLMs; enterprise workflow automation","https://www.avataar.ai/","https://escapevelocity.avataar.ai/careers","https://in.linkedin.com/company/avataar-","https://www.avataar.ai/about","https://escapevelocity.avataar.ai/careers","likely hiring",65,"'I've productionized multi-model orchestration — help with your distilled SLM eval pipelines, especially hallucination-control in agentic workflows.'","Founders Sravanth Aluru, Gaurav Baid; well-funded; Glassdoor 3.5/5 — outreach target" 
"Senseforth.ai","Bengaluru","NLP / GenAI Engineer / ML Engineer","14-28","Growth-stage (Frost & Sullivan AI Product of the Year; Gartner Cool Vendor)","Active hiring NLP engineers + frontend devs 2024; 165+ enterprise deployments incl. Prudential, HDFC, Bosch, SBI Cards","Conversational + generative AI, semantic search, agent assist; RAG + multi-LLM","https://senseforth.ai/","https://senseforth.ai/about-us","https://www.linkedin.com/company/senseforth","https://senseforth.ai/contact-us","https://www.naukri.com/senseforth-ai-research-pvt-dot-ltd-dot-jobs","actively hiring",65,"'Frame OCR/doc-AI + vector search as semantic search for BFSI clients.'","Glassdoor 3.6/5;  some work-life concerns — flag in outreach"
"Stride.AI","Bengaluru","ML/NLP Engineer / Engineering Lead","12-22","Techstars + seed (Atlanta + Bangalore)","New Engineering Lead Tosh Bir Singh joined 2024; banking intelligent automation focus","Cognitive automation + RAG over banking docs (AML, PEP, KYC) = OCR/doc-AI + RAG","https://stride.ai/","https://www.stride.ai/careers","https://in.linkedin.com/company/stride.ai","https://stride.ai/contact","https://www.naukri.com/stride-ai-jobs-careers-4123000","likely hiring",60,"'Lead with OCR/doc-AI (95% MRR on 50K+/mo) and FastAPI + Qdrant — applicable to AML doc automation.'","Glassdoor 2.9/5 — flag culture risk in outreach"
